Time par DarkSoul - commentaires a darksoul@darkbsd.org
{0}{20}{c:$0044EEEE:$8044EEEE}{s:20}{o:320,540}[Saint Seiya Hades - OP - Chikyuugi]
{20}{100}{c:$8044EEEE}{s:20}{o:320,540}[Saint Seiya Hades - OP - Chikyuugi]
{100}{120}{c:$8044EEEE:$0044EEEE}{s:20}{o:320,540}[Saint Seiya Hades - OP - Chikyuugi]
{0}{238}namida yori mo... yasashi uta wo
{178}{497}||kanashimi yori... sono nukumori wo
{996}{1210}sekai ga sonna ni mo
{1166}{1355}||kantan ni kawarutowa omowanai kedo
{1295}{1482}shizukani yami wo tokashite
{1422}{1642}||"aruite aruite miou" to omou
{1582}{1770}yukkuri demo chikazukeru kana
{1710}{1978}||yume no kakera, daisuki na hito, omoigaita 
{1918}{2190}ai no katachi wa zutto zutto sagashi tsuzukete
{2130}{2331}||anata no tame ni dekiru koto nante
{2271}{2472}taishita koto nai kamoshirenai
{2412}{2612}||demo soretemo fureteitaiyo
{2552}{2751}kanashimi yori sono nukumori wo
{2691}{2907}||kuru kuru mawaru, chikyuugi
{2847}{3054}kuru kuru kawaru, jikan
{2994}{3152}||sekai no hate ni
{3092}{3292}ai wo yorokobi no saki ni
{3232}{3449}||yume wo...
{21}{27}|ÿ                               
{27}{31}|  ÿ                             
{36}{40}|    ÿ                           
{44}{49}|       ÿ                        
{57}{60}|         ÿ                      
{66}{100}|            ÿ                   
{120}{126}|                  ÿ             
{126}{130}|                    ÿ           
{134}{151}|                      ÿ         
{156}{162}|                          ÿ     
{167}{170}|                           ÿ    
{174}{207}|                              ÿ 
{238}{244}|||ÿ                                 
{244}{248}|||  ÿ                               
{255}{258}|||    ÿ                             
{262}{266}|||       ÿ                          
{277}{281}|||          ÿ                       
{285}{317}|||            ÿ                     
{335}{342}|||                  ÿ               
{342}{346}|||                    ÿ             
{352}{358}|||                       ÿ          
{364}{368}|||                         ÿ        
{373}{377}|||                           ÿ      
{387}{391}|||                             ÿ    
{399}{437}|||                                ÿ 
{1076}{1082}|ÿ                   
{1082}{1085}|  ÿ                 
{1092}{1106}|      ÿ             
{1122}{1129}|         ÿ          
{1134}{1140}|           ÿ        
{1147}{1151}|            ÿ       
{1160}{1167}|               ÿ    
{1167}{1180}|                  ÿ 
{1196}{1200}|||  ÿ                                 
{1204}{1207}|||     ÿ                              
{1213}{1222}|||         ÿ                          
{1236}{1240}|||            ÿ                       
{1240}{1245}|||              ÿ                     
{1245}{1250}|||                ÿ                   
{1250}{1254}|||                  ÿ                 
{1254}{1262}|||                    ÿ               
{1269}{1274}|||                       ÿ            
{1274}{1278}|||                        ÿ           
{1282}{1284}|||                          ÿ         
{1290}{1294}|||                            ÿ       
{1298}{1304}|||                                ÿ   
{1304}{1324}|||                                  ÿ 
{1339}{1345}|ÿ                          
{1345}{1352}|   ÿ                       
{1352}{1355}|     ÿ                     
{1359}{1368}|       ÿ                   
{1377}{1381}|          ÿ                
{1386}{1390}|            ÿ              
{1394}{1404}|               ÿ           
{1412}{1420}|                  ÿ        
{1428}{1432}|                    ÿ      
{1439}{1442}|                      ÿ    
{1446}{1451}|                         ÿ 
{1476}{1483}||| ÿ                          
{1483}{1487}|||  ÿ                         
{1491}{1497}|||    ÿ                       
{1497}{1503}|||     ÿ                      
{1509}{1513}|||        ÿ                   
{1517}{1521}|||         ÿ                  
{1525}{1530}|||           ÿ                
{1530}{1541}|||            ÿ               
{1546}{1553}|||               ÿ            
{1553}{1562}|||                 ÿ          
{1562}{1566}|||                  ÿ         
{1566}{1576}|||                     ÿ      
{1576}{1579}|||                        ÿ   
{1583}{1587}|||                         ÿ  
{1587}{1611}|||                           ÿ
{1622}{1628}|ÿ                            
{1628}{1634}|  ÿ                          
{1634}{1638}|   ÿ                         
{1644}{1649}|        ÿ                    
{1649}{1670}|          ÿ                  
{1686}{1691}|             ÿ               
{1691}{1696}|                ÿ            
{1696}{1701}|                  ÿ          
{1701}{1707}|                    ÿ        
{1707}{1712}|                      ÿ      
{1716}{1720}|                         ÿ   
{1720}{1739}|                           ÿ 
{1757}{1763}|||ÿ                                          
{1763}{1768}|||  ÿ                                        
{1772}{1778}|||     ÿ                                     
{1778}{1781}|||        ÿ                                  
{1785}{1790}|||          ÿ                                
{1790}{1807}|||            ÿ                              
{1818}{1823}|||                ÿ                          
{1828}{1832}|||                   ÿ                       
{1839}{1846}|||                     ÿ                     
{1846}{1850}|||                        ÿ                  
{1856}{1860}|||                           ÿ               
{1860}{1874}|||                             ÿ             
{1897}{1901}|||                                 ÿ         
{1906}{1909}|||                                  ÿ        
{1913}{1916}|||                                    ÿ      
{1924}{1930}|||                                     ÿ     
{1930}{1934}|||                                       ÿ   
{1934}{1947}|||                                        ÿ  
{1967}{1972}|ÿ                                             
{1972}{1978}|   ÿ                                          
{1982}{1987}|      ÿ                                       
{1987}{1992}|        ÿ                                     
{1996}{2001}|          ÿ                                   
{2001}{2025}|              ÿ                               
{2036}{2040}|                 ÿ                            
{2044}{2049}|                    ÿ                         
{2054}{2059}|                       ÿ                      
{2064}{2086}|                          ÿ                   
{2103}{2109}|                             ÿ                
{2109}{2114}|                               ÿ              
{2114}{2118}|                                 ÿ            
{2123}{2128}|                                     ÿ        
{2128}{2135}|                                        ÿ     
{2135}{2141}|                                          ÿ   
{2141}{2159}|                                            ÿ 
{2176}{2183}|||ÿ                                 
{2183}{2188}||| ÿ                                
{2188}{2194}|||   ÿ                              
