// timing fait par Rubix
{446}{638}shinku no juutan ni nita
{638}{806}kono yo no hana wa mina omote
{806}{971}sono shita ni nagareru yami
{971}{1137}kanashimi wa soko kara umare
{1137}{1283}aa, kokoro sae itsuwatte
{1283}{1469}ikiruno ka hito wa sadame ni
{1469}{1730}ayatsurareru dake, tada, itoshiki mono
{1469}{1760}||dakishime chiisaki mono mamoru tame
{1730}{1854}kyou mo dare ka ga
{1760}{1884}||sakebu
{1854}{2060}kono inochi sae mo nagedashi
{1884}{2090}||toki no naka de moetsukiru
{2060}{2196}sono isshun ni
{2196}{2353}kuchizuke o
{516}{521}|ÿ                       
{521}{525}|   ÿ                    
{525}{531}|    ÿ                   
{531}{541}|       ÿ                
{541}{550}|          ÿ             
{550}{560}|            ÿ           
{560}{570}|             ÿ          
{570}{580}|               ÿ        
{580}{593}|                 ÿ      
{618}{624}|                    ÿ   
{624}{637}|                      ÿ 
{679}{685}|ÿ                            
{685}{690}|  ÿ                          
{690}{694}|     ÿ                       
{694}{706}|        ÿ                    
{706}{715}|           ÿ                 
{715}{726}|             ÿ               
{726}{736}|                ÿ            
{736}{746}|                   ÿ         
{746}{761}|                     ÿ       
{780}{786}|                        ÿ    
{786}{790}|                         ÿ   
{790}{805}|                           ÿ 
{848}{853}|ÿ                          
{853}{857}|  ÿ                        
{857}{862}|     ÿ                     
{862}{872}|        ÿ                  
{872}{883}|           ÿ               
{883}{892}|              ÿ            
{892}{902}|                ÿ          
{902}{913}|                  ÿ        
{913}{930}|                    ÿ      
{949}{954}|                       ÿ   
{954}{970}|                         ÿ 
{1014}{1019}|ÿ                           
{1019}{1024}|  ÿ                         
{1024}{1029}|    ÿ                       
{1029}{1038}|       ÿ                    
{1038}{1048}|          ÿ                 
{1048}{1059}|             ÿ              
{1059}{1069}|               ÿ            
{1069}{1076}|                  ÿ         
{1080}{1094}|                    ÿ       
{1114}{1119}|                       ÿ    
{1119}{1124}|                        ÿ   
{1124}{1136}|                          ÿ 
{1148}{1153}|ÿ                       
{1153}{1163}| ÿ                      
{1163}{1173}|    ÿ                   
{1173}{1178}|      ÿ                 
{1178}{1189}|        ÿ               
{1189}{1193}|           ÿ            
{1193}{1204}|             ÿ          
{1204}{1220}|               ÿ        
{1220}{1229}|                ÿ       
{1229}{1235}|                   ÿ    
{1235}{1246}|                     ÿ  
{1246}{1282}|                      ÿ 
{1290}{1303}|ÿ                           
{1303}{1314}| ÿ                          
{1314}{1323}|   ÿ                        
{1323}{1329}|     ÿ                      
{1329}{1345}|        ÿ                   
{1355}{1361}|           ÿ                
{1361}{1372}|             ÿ              
{1372}{1387}|                ÿ           
{1387}{1396}|                   ÿ        
{1396}{1401}|                     ÿ      
{1401}{1412}|                       ÿ    
{1412}{1468}|                          ÿ 
{1481}{1486}|ÿ                                     
{1486}{1491}| ÿ                                    
{1491}{1494}|   ÿ                                  
{1494}{1509}|      ÿ                               
{1509}{1517}|        ÿ                             
{1521}{1532}|          ÿ                           
{1532}{1536}|             ÿ                        
{1536}{1551}|               ÿ                      
{1563}{1567}|                   ÿ                  
{1567}{1578}|                     ÿ                
{1578}{1588}|                         ÿ            
{1588}{1593}|                          ÿ           
{1593}{1598}|                            ÿ         
{1598}{1603}|                               ÿ      
{1603}{1608}|                                  ÿ   
{1608}{1617}|                                    ÿ 
{1621}{1631}|||ÿ                                  
{1631}{1642}|||  ÿ                                
{1642}{1651}|||    ÿ                              
{1651}{1662}|||       ÿ                           
{1662}{1667}|||          ÿ                        
{1672}{1678}|||             ÿ                     
{1678}{1682}|||              ÿ                    
{1682}{1688}|||                ÿ                  
{1688}{1693}|||                   ÿ               
{1693}{1706}|||                     ÿ             
{1706}{1711}|||                        ÿ          
{1716}{1722}|||                          ÿ        
{1726}{1733}|||                            ÿ      
{1737}{1743}|||                               ÿ   
{1747}{1759}|||                                 ÿ 
{1773}{1779}|ÿ                 
{1779}{1788}|   ÿ              
{1788}{1798}|     ÿ            
{1804}{1809}|        ÿ         
{1814}{1819}|          ÿ       
{1819}{1829}|             ÿ    
{1829}{1850}|                ÿ 
{1857}{1863}|||ÿ     
{1863}{1867}|||  ÿ   
{1867}{1883}|||    ÿ 
{1896}{1901}|ÿ                           
{1901}{1910}|  ÿ                         
{1910}{1920}|     ÿ                      
{1920}{1925}|      ÿ                     
{1925}{1930}|        ÿ                   
{1930}{1935}|            ÿ               
{1935}{1945}|              ÿ             
{1945}{1955}|                ÿ           
{1955}{1965}|                   ÿ        
{1965}{1975}|                     ÿ      
{1975}{1985}|                       ÿ    
{1985}{1995}|                         ÿ  
{1995}{2006}|||ÿ                         
{2006}{2011}|||  ÿ                       
{2011}{2016}|||     ÿ                    
{2016}{2020}|||        ÿ                 
{2020}{2025}|||          ÿ               
{2025}{2037}|||             ÿ            
{2037}{2048}|||                ÿ         
{2048}{2058}|||                  ÿ       
{2058}{2067}|||                   ÿ      
{2067}{2077}|||                      ÿ   
{2077}{2089}|||                        ÿ 
{2105}{2110}|ÿ             
{2110}{2119}|  ÿ           
{2119}{2134}|     ÿ        
{2134}{2145}|      ÿ       
{2145}{2150}|       ÿ      
{2150}{2162}|          ÿ   
{2162}{2195}|            ÿ 
{2204}{2219}|ÿ          
{2219}{2228}|  ÿ        
{2228}{2239}|     ÿ     
{2239}{2244}|       ÿ   
{2244}{2323}|          ÿ
