# --- This is a generated file --- -*- toyunda -*-
{0}{0}{needed at beginning of file for file format recognition by mplayer}
# --- LYRICS - GENERATE AGAIN AFTER YOU EDIT ---
--%color 00FFFF 0000FF DDFF00
--%set style mikomi
--%set margin_before 50
--&ta&tta &hi&t&o&tsu &no &i&no&chi &wo &su&te &te
--&u&ma&re&ka&wa&tta &fu&ji&mi &no &ka&ra&da
--&te&tsu &no &a&ku&ma &wo &ta&ta&i &te &ku&da&ku
--&CA&SSHER&N &ga &ya&ra&ne&ba &da&re &ga &ya&ru
--&hi&bi&ke &CA&SSHERN!
--&ta&ta&ke &CA&SSH&ERN!
--&ku&da&ke &CA&SSH&ERN!
--&u&wa&sa &ni &ki&ko&e &ta &su&go&i &ya&tsu
--&KICK &A&TTACK &den&kou &PUNCH
--&u&ma&re&ka&wa&t&ta &fu&ji&mi &no &ka&ra&da
--&AN&D&RO &gun&dan &ta&o&su &ma&de
--&mo&e&ru &i&ka&ri &wo &bu&chi &ka&ma &se
--&FRIEN&DER &JET !
--&shin&zo &nin&gen &CA&SSHERN
--&CA&SSHERN &CA&SSHERN
# --- SUB - DO NOT EDIT HERE - MODIFICATIONS WILL BE LOST ---
{0}{21}{c:$FF00FFFF} a                                
{0}{21}{c:$FF00FFFF}t                                 
{0}{30}{c:$FF00FFFF}    a                             
{0}{30}{c:$FF00FFFF}   t                              
{0}{30}{c:$FF00FFFF}  t                               
{0}{36}{c:$FF00FFFF}       i                          
{0}{36}{c:$FF00FFFF}      h                           
{0}{38}{c:$FF00FFFF}        t                         
{0}{41}{c:$FF00FFFF}         o                        
{0}{44}{c:$FF00FFFF}            u                     
{0}{44}{c:$FF00FFFF}           s                      
{0}{44}{c:$FF00FFFF}          t                       
{0}{48}{c:$FF00FFFF}               o                  
{0}{48}{c:$FF00FFFF}              n                   
{0}{54}{c:$FF00FFFF}                 i                
{0}{57}{c:$FF00FFFF}                   o              
{0}{57}{c:$FF00FFFF}                  n               
{0}{60}{c:$FF00FFFF}                      i           
{0}{60}{c:$FF00FFFF}                     h            
{0}{60}{c:$FF00FFFF}                    c             
{0}{63}{c:$FF00FFFF}                         o        
{0}{63}{c:$FF00FFFF}                        w         
{0}{69}{c:$FF00FFFF}                            u     
{0}{69}{c:$FF00FFFF}                           s      
{0}{73}{c:$FF00FFFF}                              e   
{0}{73}{c:$FF00FFFF}                             t    
{0}{76}{c:$FF00FFFF}                                 e
{0}{76}{c:$FF00FFFF}                                t 
{1007}{1016}{c:$FF0000FF:$FFDDFF00}              n         
{1007}{1016}{c:$FF0000FF:$FFDDFF00}             e          
{1007}{1016}{c:$FF0000FF:$FFDDFF00}            d           
{1007}{1016}|            ÿ          
{1007}{1033}{c:$FFDDFF00}          K             
{1007}{1033}{c:$FFDDFF00}         C              
{1007}{1033}{c:$FFDDFF00}        A               
{1007}{1033}{c:$FFDDFF00}       T                
{1007}{1033}{c:$FFDDFF00}      T                 
{1016}{1026}{c:$FF0000FF:$FFDDFF00}                 u      
{1016}{1026}{c:$FF0000FF:$FFDDFF00}                o       
{1016}{1026}{c:$FF0000FF:$FFDDFF00}               k        
{1016}{1026}|               ÿ       
{1016}{1033}{c:$FFDDFF00}              n         
{1016}{1033}{c:$FFDDFF00}             e          
{1016}{1033}{c:$FFDDFF00}            d           
{101}{104}||{c:$FF0000FF:$FFDDFF00}      a                      
{101}{104}||{c:$FF0000FF:$FFDDFF00}     k                       
{101}{104}|||     ÿ                      
{101}{111}{c:$0000FFFF:$FF00FFFF}                                u
{101}{111}{c:$0000FFFF:$FF00FFFF}                               k 
{101}{111}{c:$0000FFFF:$FF00FFFF}                              a  
{101}{111}{c:$0000FFFF:$FF00FFFF}                             d   
{101}{111}{c:$0000FFFF:$FF00FFFF}                            u    
{101}{111}{c:$0000FFFF:$FF00FFFF}                           k     
{101}{111}{c:$0000FFFF:$FF00FFFF}                         e       
{101}{111}{c:$0000FFFF:$FF00FFFF}                        t        
{101}{111}{c:$0000FFFF:$FF00FFFF}                      i          
{101}{111}{c:$0000FFFF:$FF00FFFF}                     a           
{101}{111}{c:$0000FFFF:$FF00FFFF}                    t            
{101}{111}{c:$0000FFFF:$FF00FFFF}                   a             
{101}{111}{c:$0000FFFF:$FF00FFFF}                  t              
{101}{111}{c:$0000FFFF:$FF00FFFF}                o                
{101}{111}{c:$0000FFFF:$FF00FFFF}               w                 
{101}{111}{c:$0000FFFF:$FF00FFFF}             a                   
{101}{111}{c:$0000FFFF:$FF00FFFF}            m                    
{101}{111}{c:$0000FFFF:$FF00FFFF}           u                     
{101}{111}{c:$0000FFFF:$FF00FFFF}          k                      
{101}{111}{c:$0000FFFF:$FF00FFFF}         a                       
{101}{111}{c:$0000FFFF:$FF00FFFF}       o                         
{101}{111}{c:$0000FFFF:$FF00FFFF}      n                          
{101}{111}{c:$0000FFFF:$FF00FFFF}    u                            
{101}{111}{c:$0000FFFF:$FF00FFFF}   s                             
{101}{111}{c:$0000FFFF:$FF00FFFF}  t                              
{101}{111}{c:$0000FFFF:$FF00FFFF} e                               
{101}{111}{c:$0000FFFF:$FF00FFFF}t                                
{101}{148}||{c:$FFDDFF00}    e                        
