# --- This is a generated file --- -*- toyunda -*-
{0}{0}{needed at beginning of file for file format recognition by mplayer}
# --- LYRICS - GENERATE AGAIN AFTER YOU EDIT ---
--%color 00FFFF 0000FF 0080FF
--&ko&wa&i &yo&ru &wo
--&ka&zo&e&te&ru
--&fu&ta&ri &da&ke &no
--&hi&mi&tsu &to &chuu&mon
--&ko&wa&re&so&u &na
--&o&mo&i &no&se&te &to&na&e&te&ku
--&ho&ra &fu&a&n &wa
--&i&ta&mi &no &na&ka
--&ho&o &shi&zu&ka &ni
--&ko&mo&ru &hi&ru&i
# --- SUB - DO NOT EDIT HERE - MODIFICATIONS WILL BE LOST ---
{1006}{1114}||{c:$FF0080FF}  m               
{1006}{1115}||{c:$FF0080FF}   i              
{1011}{1027}||{c:$FF0000FF:$FF0080FF}      u           
{1011}{1027}||{c:$FF0000FF:$FF0080FF}     s            
{1011}{1027}||{c:$FF0000FF:$FF0080FF}    t             
{1011}{1027}|||    ÿ            
{1027}{1116}||{c:$FF0080FF}    t             
{1027}{1117}||{c:$FF0080FF}     s            
{1027}{1118}||{c:$FF0080FF}      u           
{1032}{1050}||{c:$FF0000FF:$FF0080FF}         o        
{1032}{1050}||{c:$FF0000FF:$FF0080FF}        t         
{1032}{1050}|||        ÿ        
{1050}{1120}||{c:$FF0080FF}        t         
{1050}{1121}||{c:$FF0080FF}         o        
{1055}{1080}||{c:$FF0000FF:$FF0080FF}              u   
{1055}{1080}||{c:$FF0000FF:$FF0080FF}             u    
{1055}{1080}||{c:$FF0000FF:$FF0080FF}            h     
{1055}{1080}||{c:$FF0000FF:$FF0080FF}           c      
{1055}{1080}|||           ÿ     
{1080}{1123}||{c:$FF0080FF}           c      
{1080}{1124}||{c:$FF0080FF}            h     
{1080}{1125}||{c:$FF0080FF}             u    
{1080}{1126}||{c:$FF0080FF}              u   
{1085}{1112}||{c:$FF0000FF:$FF0080FF}                 n
{1085}{1112}||{c:$FF0000FF:$FF0080FF}                o 
{1085}{1112}||{c:$FF0000FF:$FF0080FF}               m  
{1085}{1112}|||               ÿ 
{1110}{1120}{c:$0000FFFF:$FF00FFFF}k           
{1111}{1121}{c:$0000FFFF:$FF00FFFF} o          
{1112}{1117}||{c:$FF0080FF:$000080FF}h                 
{1112}{1122}{c:$0000FFFF:$FF00FFFF}  w         
{1112}{1127}||{c:$FF0080FF}               m  
{1112}{1128}||{c:$FF0080FF}                o 
{1112}{1129}||{c:$FF0080FF}                 n
{1113}{1118}||{c:$FF0080FF:$000080FF} i                
{1113}{1123}{c:$0000FFFF:$FF00FFFF}   a        
{1114}{1119}||{c:$FF0080FF:$000080FF}  m               
{1114}{1124}{c:$0000FFFF:$FF00FFFF}    r       
{1115}{1120}||{c:$FF0080FF:$000080FF}   i              
{1115}{1125}{c:$0000FFFF:$FF00FFFF}     e      
{1116}{1121}||{c:$FF0080FF:$000080FF}    t             
{1116}{1126}{c:$0000FFFF:$FF00FFFF}      s     
{1117}{1122}||{c:$FF0080FF:$000080FF}     s            
{1117}{1127}{c:$0000FFFF:$FF00FFFF}       o    
